./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 3 -R 3
N,split,join_zero,join,split_msg,split_zero
mpi/major,3
10000000,TIME-OUT,0.122914,TIME-OUT,TIME-OUT,0.076409
10000000,TIME-OUT,0.100054,TIME-OUT,TIME-OUT,0.089317
10000000,TIME-OUT,0.092308,TIME-OUT,TIME-OUT,0.087996
10000000,TIME-OUT,0.090720,TIME-OUT,TIME-OUT,0.081616
10000000,TIME-OUT,0.089746,TIME-OUT,TIME-OUT,0.082883
10000000,TIME-OUT,0.088065,TIME-OUT,TIME-OUT,0.077563
10000000,TIME-OUT,0.087897,TIME-OUT,TIME-OUT,0.087041
10000000,TIME-OUT,0.086703,TIME-OUT,TIME-OUT,0.087631
10000000,TIME-OUT,0.085830,TIME-OUT,TIME-OUT,0.085431
10000000,TIME-OUT,0.082976,TIME-OUT,TIME-OUT,0.084729
10000000,TIME-OUT,0.082310,TIME-OUT,TIME-OUT,0.088018
10000000,TIME-OUT,0.082101,TIME-OUT,TIME-OUT,0.088039
10000000,TIME-OUT,0.081694,TIME-OUT,TIME-OUT,0.086695
10000000,TIME-OUT,0.081447,TIME-OUT,TIME-OUT,0.085697
10000000,TIME-OUT,0.080961,TIME-OUT,TIME-OUT,0.079996
10000000,TIME-OUT,0.078903,TIME-OUT,TIME-OUT,0.074694
10000000,TIME-OUT,0.078857,TIME-OUT,TIME-OUT,0.092074
10000000,TIME-OUT,0.077601,TIME-OUT,TIME-OUT,0.078735
10000000,TIME-OUT,0.077416,TIME-OUT,TIME-OUT,0.087715
10000000,TIME-OUT,0.072501,TIME-OUT,TIME-OUT,0.081700
