./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f schedule
openmp/schedule
N,dynamic,static,auto,guided
10000000,TIME-OUT,0.324765,0.033134,0.553953
10000000,TIME-OUT,0.172293,0.330692,0.041839
10000000,TIME-OUT,0.135573,0.049895,0.020893
10000000,TIME-OUT,0.067943,0.047521,0.251416
10000000,TIME-OUT,0.038998,0.528318,0.025115
10000000,2.182390,0.257121,0.169558,0.091602
10000000,1.539860,0.168857,0.108327,0.398142
10000000,1.287160,0.130916,0.429341,0.086806
10000000,0.944830,0.023582,0.090825,0.159245
10000000,0.927822,0.055489,0.130454,0.297294
10000000,0.911840,0.042202,0.449533,0.049435
10000000,0.911403,0.044655,0.103047,0.397366
10000000,0.908348,0.112127,0.071398,0.075873
10000000,0.906865,0.045561,0.102768,0.390002
10000000,0.904925,0.025563,0.514797,0.043990
10000000,0.891013,0.129702,0.077377,0.079097
10000000,0.871607,0.166044,0.039173,0.189470
10000000,0.871576,0.389735,0.063482,0.041565
10000000,0.868272,0.040905,0.058614,0.122934
10000000,0.849504,0.112271,0.388167,0.044427
