./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f reduction
openmp/reduction
N,join_zero,reduction
10000000,0.507003,TIME-OUT
10000000,0.334160,TIME-OUT
10000000,0.322548,TIME-OUT
10000000,0.297386,TIME-OUT
10000000,0.288699,TIME-OUT
10000000,0.116861,TIME-OUT
10000000,0.103372,TIME-OUT
10000000,0.102851,TIME-OUT
10000000,0.102689,TIME-OUT
10000000,0.093638,TIME-OUT
10000000,0.067923,TIME-OUT
10000000,0.062543,TIME-OUT
10000000,0.058813,TIME-OUT
10000000,0.058603,TIME-OUT
10000000,0.056567,TIME-OUT
10000000,0.052449,TIME-OUT
10000000,0.049615,TIME-OUT
10000000,0.048084,TIME-OUT
10000000,0.040426,TIME-OUT
10000000,0.031270,TIME-OUT
