./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 4 -R 4
N,split,join_zero,join,split_msg,split_zero
mpi/major,4
10000000,TIME-OUT,0.114108,TIME-OUT,TIME-OUT,0.111995
10000000,TIME-OUT,0.098969,TIME-OUT,TIME-OUT,0.083678
10000000,TIME-OUT,0.097799,TIME-OUT,TIME-OUT,0.079429
10000000,TIME-OUT,0.092117,TIME-OUT,TIME-OUT,0.097708
10000000,TIME-OUT,0.091130,TIME-OUT,TIME-OUT,0.086539
10000000,TIME-OUT,0.090925,TIME-OUT,TIME-OUT,0.134272
10000000,TIME-OUT,0.090309,TIME-OUT,TIME-OUT,0.092946
10000000,TIME-OUT,0.089912,TIME-OUT,TIME-OUT,0.082387
10000000,TIME-OUT,0.088616,TIME-OUT,TIME-OUT,0.085496
10000000,TIME-OUT,0.087766,TIME-OUT,TIME-OUT,0.076598
10000000,TIME-OUT,0.086489,TIME-OUT,TIME-OUT,0.089973
10000000,TIME-OUT,0.085497,TIME-OUT,TIME-OUT,0.072826
10000000,TIME-OUT,0.084744,TIME-OUT,TIME-OUT,0.076179
10000000,TIME-OUT,0.082233,TIME-OUT,TIME-OUT,0.093487
10000000,TIME-OUT,0.080838,TIME-OUT,TIME-OUT,0.095556
10000000,TIME-OUT,0.078966,TIME-OUT,TIME-OUT,0.084683
10000000,TIME-OUT,0.078470,TIME-OUT,TIME-OUT,0.096994
10000000,TIME-OUT,0.076963,TIME-OUT,TIME-OUT,0.086507
10000000,TIME-OUT,0.076020,TIME-OUT,TIME-OUT,0.076204
10000000,TIME-OUT,0.074640,TIME-OUT,TIME-OUT,0.078982
