./tester -m -v 0 -n 100000 -N 100000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 4 -R 4
N,split,join_zero,join,split_msg,split_zero
mpi/major,4
100000,0.734829,0.000951,0.975079,0.897035,0.001047
100000,0.713185,0.001114,0.600339,0.792827,0.001317
100000,0.682523,0.003110,0.573846,0.796521,0.002062
100000,0.647615,0.014985,0.634962,0.768763,0.013155
100000,0.637640,0.001912,0.721871,0.795157,0.001055
100000,0.633596,0.008600,0.623861,0.819627,0.001352
100000,0.606597,0.001242,0.608628,0.793331,0.001159
100000,0.588241,0.001031,0.628094,0.766689,0.004673
100000,0.581906,0.001045,0.661830,0.788276,0.001122
100000,0.579454,0.000960,0.638044,0.680267,0.000946
100000,0.576978,0.001119,0.617529,0.824999,0.001427
100000,0.575433,0.001072,0.579106,0.855992,0.001652
100000,0.573127,0.001310,0.622810,0.766006,0.001315
100000,0.565456,0.001175,0.620725,0.931867,0.003684
100000,0.539700,0.001150,0.462898,0.661742,0.001906
100000,0.498785,0.001153,0.438058,0.649199,0.001546
100000,0.483942,0.001871,0.500703,0.666246,0.003026
100000,0.467654,0.001008,0.453466,0.811753,0.003145
100000,0.439379,0.002366,0.415663,0.625897,0.001254
100000,0.400978,0.001063,0.474073,0.643179,0.001047
