./tester -m -v 0 -n 100000 -N 100000 -t 10 -e 0.01 -h 100.0 -i 1 -S -f original
seq/original
N,original
100000,0.322254
100000,0.314448
100000,0.312836
100000,0.312820
100000,0.307711
100000,0.298948
100000,0.298212
100000,0.298143
100000,0.297384
100000,0.297204
100000,0.296775
100000,0.294469
100000,0.289166
100000,0.287421
100000,0.285342
100000,0.282488
100000,0.281988
100000,0.278574
100000,0.275233
100000,0.274446
