./tester -m -v 0 -n 100000 -N 100000 -t 10 -e 0.01 -h 100.0 -i 1 -S -f major
seq/major
N,split,join_zero,join,split_zero
100000,0.306839,0.010732,0.300690,0.009431
100000,0.305511,0.009312,0.311974,0.008672
100000,0.304869,0.010027,0.299087,0.010520
100000,0.289904,0.009781,0.292409,0.009890
100000,0.284327,0.010211,0.292083,0.009637
100000,0.282672,0.009783,0.283024,0.009158
100000,0.280681,0.009421,0.308624,0.009727
100000,0.276375,0.009715,0.287613,0.010399
100000,0.272374,0.011765,0.282302,0.009320
100000,0.269165,0.009012,0.244989,0.008103
100000,0.253471,0.008096,0.236020,0.008407
100000,0.251456,0.010559,0.261642,0.009476
100000,0.245417,0.008154,0.237935,0.008194
100000,0.243415,0.009466,0.229527,0.008410
100000,0.239365,0.010530,0.247919,0.008212
100000,0.238957,0.010162,0.231992,0.009254
100000,0.238074,0.009846,0.226749,0.008766
100000,0.233197,0.008919,0.285896,0.010670
100000,0.231256,0.010166,0.233221,0.008420
100000,0.225704,0.008331,0.304639,0.009516
