./tester -m -v 0 -n 1000 -N 1000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 1 -R 1
N,split,join_zero,join,split_msg,split_zero
mpi/major,1
1000,0.004051,0.006046,0.005850,TIME-OUT,0.002923
1000,0.003770,0.005578,0.006176,TIME-OUT,0.004453
1000,0.003691,0.005503,0.006082,TIME-OUT,0.003183
1000,0.003640,0.005502,0.006075,TIME-OUT,0.003098
1000,0.003624,0.005386,0.006203,TIME-OUT,0.004410
1000,0.003576,0.005346,0.005820,TIME-OUT,0.003144
1000,0.003520,0.004886,0.005727,TIME-OUT,0.003619
1000,0.003508,0.005248,0.005998,TIME-OUT,0.003116
1000,0.003363,0.005429,0.005763,TIME-OUT,0.003206
1000,0.003354,0.005181,0.005544,TIME-OUT,0.003080
1000,0.003319,0.005170,0.006880,TIME-OUT,0.003049
1000,0.003283,0.005354,0.005679,TIME-OUT,0.003190
1000,0.003275,0.005369,0.007315,TIME-OUT,0.002808
1000,0.003261,0.004948,0.006792,TIME-OUT,0.003639
1000,0.003235,0.005499,0.005513,TIME-OUT,0.003816
1000,0.003153,0.004647,0.006734,TIME-OUT,0.002858
1000,0.003088,0.005211,0.005723,TIME-OUT,0.003186
1000,0.003088,0.004509,0.005172,TIME-OUT,0.002583
1000,0.003069,0.005087,0.005821,TIME-OUT,0.003031
1000,0.003066,0.004946,0.007325,TIME-OUT,0.002776
