./tester -m -v 0 -n 1000 -N 1000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 3 -R 3
N,split,join_zero,join,split_msg,split_zero
mpi/major,3
1000,0.016182,0.000070,0.012744,0.020663,0.000051
1000,0.015874,0.000039,0.013499,0.019583,0.000127
1000,0.014953,0.000052,0.011889,0.020405,0.000036
1000,0.014424,0.000077,0.012412,0.018338,0.000097
1000,0.013885,0.000041,0.012765,0.021687,0.000036
1000,0.013309,0.003011,0.017645,0.018551,0.000042
1000,0.013062,0.000041,0.011140,0.017919,0.000128
1000,0.012823,0.000044,0.010932,0.018651,0.000125
1000,0.012716,0.000033,0.013809,0.019402,0.000057
1000,0.012686,0.000036,0.012439,0.021198,0.000160
1000,0.012653,0.000068,0.017068,0.019501,0.000103
1000,0.012208,0.000086,0.014474,0.019451,0.000039
1000,0.011799,0.000049,0.012714,0.023117,0.000085
1000,0.011744,0.000042,0.012424,0.020780,0.000043
1000,0.011133,0.000036,0.011828,0.019149,0.000116
1000,0.010980,0.000064,0.011887,0.022249,0.000040
1000,0.010831,0.000035,0.014445,0.019802,0.000103
1000,0.010629,0.000074,0.011374,0.018335,0.000044
1000,0.010307,0.000145,0.011182,0.019705,0.000042
1000,0.010007,0.000054,0.010909,0.021929,0.000213
