./tester -m -v 0 -n 1000 -N 1000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 4 -R 4
N,split,join_zero,join,split_msg,split_zero
mpi/major,4
1000,0.017933,0.000155,0.015913,0.057403,0.000081
1000,0.016297,0.000057,0.009759,0.028691,0.000093
1000,0.014773,0.000142,0.009475,0.024689,0.000071
1000,0.014535,0.000054,0.012599,0.029320,0.000120
1000,0.014249,0.000056,0.012799,0.027074,0.000036
1000,0.013979,0.000099,0.011348,0.025967,0.000118
1000,0.013761,0.000127,0.009394,0.025250,0.000054
1000,0.013459,0.000037,0.014434,0.030210,0.000191
1000,0.013267,0.000046,0.014552,0.025480,0.000207
1000,0.013163,0.000113,0.011723,0.031141,0.025761
1000,0.012728,0.000141,0.011719,0.029659,0.000068
1000,0.012347,0.007374,0.012040,0.025292,0.000046
1000,0.012243,0.004664,0.015151,0.024866,0.000146
1000,0.012153,0.000106,0.010208,0.028020,0.005820
1000,0.011962,0.000214,0.011764,0.027346,0.000222
1000,0.011592,0.000047,0.014305,0.034016,0.000168
1000,0.011113,0.000215,0.012497,0.027505,0.000041
1000,0.010980,0.000047,0.012154,0.025741,0.000171
1000,0.010247,0.000061,0.012277,0.026564,0.000048
1000,0.008873,0.000174,0.013509,0.028726,0.000040
