./tester -m -v 0 -n 1000 -N 1000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f reduction
openmp/reduction
N,join_zero,reduction
1000,0.006404,0.027933
1000,0.000500,0.012547
1000,0.000452,0.006083
1000,0.000187,0.006502
1000,0.000185,0.006141
1000,0.000178,0.013032
1000,0.000178,0.006688
1000,0.000168,0.006063
1000,0.000162,0.006707
1000,0.000155,0.006276
1000,0.000148,0.006673
1000,0.000148,0.006196
1000,0.000145,0.006541
1000,0.000144,0.006201
1000,0.000143,0.006344
1000,0.000142,0.014731
1000,0.000142,0.006355
1000,0.000139,0.006381
1000,0.000134,0.007353
1000,0.000133,0.023739
