./tester -m -v 0 -n 1000 -N 1000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f schedule
openmp/schedule
N,dynamic,static,auto,guided
1000,0.165773,0.000239,0.000211,0.000218
1000,0.117600,0.000199,0.000233,0.000206
1000,0.112423,0.000204,0.000198,0.000192
1000,0.111520,0.032034,0.010506,0.000254
1000,0.099433,0.000221,0.000206,0.001546
1000,0.093290,0.000235,0.000219,0.000327
1000,0.089431,0.000231,0.000224,0.000220
1000,0.089321,0.015312,0.000226,0.000221
1000,0.050529,0.000167,0.000142,0.000166
1000,0.022146,0.008083,0.191781,0.000304
1000,0.003670,0.085891,0.000218,0.000223
1000,0.003429,0.000130,0.000138,0.000174
1000,0.000727,0.000545,0.002937,0.000473
1000,0.000512,0.000292,0.000267,0.051263
1000,0.000311,0.031305,0.000130,0.000200
1000,0.000282,0.000186,0.000170,0.000188
1000,0.000278,0.000195,0.001342,0.000362
1000,0.000254,0.000148,0.000136,0.000146
1000,0.000236,0.000143,0.000135,0.000176
1000,0.000234,0.000152,0.000137,0.000241
