./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 1 -R 1
N,split,join_zero,join,split_msg,split_zero
mpi/major,1
10000,0.069270,0.009594,0.036991,-1,0.006059
1000000,4.623610,0.018914,5.380920,-1,0.015881
1000000,4.597490,0.018302,5.403740,-1,0.016426
1000000,4.593780,0.022788,5.392130,-1,0.015320
1000000,4.581860,0.016895,5.382370,-1,0.015484
1000000,4.580660,0.018594,5.398380,-1,0.017670
1000000,4.577960,0.022232,5.386220,-1,0.014403
1000000,4.575880,0.023375,5.386080,-1,0.018382
1000000,4.575870,0.016415,5.388650,-1,0.016387
1000000,4.574270,0.017277,5.382760,-1,0.013965
1000000,4.573210,0.018865,5.387060,-1,0.015333
1000000,4.572120,0.021722,5.383070,-1,0.017627
1000000,4.571730,0.020286,5.386130,-1,0.019118
1000000,4.570980,0.018256,5.375380,-1,0.013957
1000000,4.570270,0.018350,5.379730,-1,0.014474
1000000,4.565850,0.025138,5.387930,-1,0.013952
1000000,4.564930,0.018664,5.374290,-1,0.016403
1000000,4.564890,0.018955,5.378280,-1,0.015320
1000000,4.564130,0.019310,5.378350,-1,0.015333
1000000,4.554500,0.018860,5.427980,-1,0.015867
1000000,4.514640,0.018921,5.399730,-1,0.014867
1000,0.004051,0.006046,0.005850,-1,0.002923
1000,0.003770,0.005578,0.006176,-1,0.004453
1000,0.003691,0.005503,0.006082,-1,0.003183
1000,0.003640,0.005502,0.006075,-1,0.003098
1000,0.003624,0.005386,0.006203,-1,0.004410
1000,0.003576,0.005346,0.005820,-1,0.003144
1000,0.003520,0.004886,0.005727,-1,0.003619
1000,0.003508,0.005248,0.005998,-1,0.003116
1000,0.003363,0.005429,0.005763,-1,0.003206
1000,0.003354,0.005181,0.005544,-1,0.003080
1000,0.003319,0.005170,0.006880,-1,0.003049
1000,0.003283,0.005354,0.005679,-1,0.003190
1000,0.003275,0.005369,0.007315,-1,0.002808
1000,0.003261,0.004948,0.006792,-1,0.003639
1000,0.003235,0.005499,0.005513,-1,0.003816
1000,0.003153,0.004647,0.006734,-1,0.002858
1000,0.003088,0.005211,0.005723,-1,0.003186
1000,0.003088,0.004509,0.005172,-1,0.002583
1000,0.003069,0.005087,0.005821,-1,0.003031
1000,0.003066,0.004946,0.007325,-1,0.002776
100000,0.257805,0.010866,0.335131,-1,0.007097
10000,0.025573,0.009700,0.041315,-1,0.006118
100000,0.252672,0.011593,0.306401,-1,0.005810
10000,0.024506,0.010710,0.040689,-1,0.006120
10000,0.024460,0.010798,0.039386,-1,0.005827
10000,0.024376,0.010455,0.037518,-1,0.006678
10000,0.024333,0.010291,0.037841,-1,0.005957
10000,0.024320,0.011372,0.037387,-1,0.006004
10000,0.023809,0.010831,0.038164,-1,0.005974
10000,0.023808,0.009795,0.036798,-1,0.006108
10000,0.023740,0.010627,0.040291,-1,0.005937
10000,0.023522,0.010158,0.036543,-1,0.006043
100000,0.234644,0.012876,0.307331,-1,0.008006
10000,0.023333,0.010500,0.037375,-1,0.005697
10000,0.023288,0.011336,0.036216,-1,0.005916
100000,0.231080,0.009662,0.300468,-1,0.005722
10000,0.023016,0.010281,0.040653,-1,0.005942
100000,0.227170,0.011099,0.353667,-1,0.007290
10000,0.022693,0.010235,0.037627,-1,0.006231
10000,0.022630,0.011348,0.039492,-1,0.006066
10000,0.022161,0.010311,0.039960,-1,0.006027
10000,0.022150,0.010683,0.037540,-1,0.006118
100000,0.221014,0.011150,0.349042,-1,0.006924
100000,0.220859,0.010867,0.369258,-1,0.006410
100000,0.219811,0.010970,0.336662,-1,0.006963
10000,0.021980,0.015084,0.034403,-1,0.005636
10000,0.021836,0.009123,0.033572,-1,0.008648
100000,0.217428,0.011428,0.289169,-1,0.005988
100000,0.217128,0.011966,0.291503,-1,0.006395
100000,0.215731,0.011518,0.389770,-1,0.006806
100000,0.214323,0.011632,0.336736,-1,0.006896
100000,0.213930,0.014495,0.304587,-1,0.007423
100000,0.201270,0.009949,0.298144,-1,0.008911
100000,0.199028,0.009659,0.295238,-1,0.006887
100000,0.197523,0.016213,0.306145,-1,0.009091
100000,0.196471,0.009808,0.304058,-1,0.006191
100000,0.188978,0.011467,0.290912,-1,0.006877
100000,0.188186,0.009644,0.317653,-1,0.006184
100000,0.183733,0.009149,0.302174,-1,0.006626
10000000,-1,0.103649,-1,-1,0.097362
10000000,-1,0.103218,-1,-1,0.087329
10000000,-1,0.101643,-1,-1,0.092327
10000000,-1,0.100202,-1,-1,0.089075
10000000,-1,0.098682,-1,-1,0.085239
10000000,-1,0.098615,-1,-1,0.091764
10000000,-1,0.093754,-1,-1,0.085766
10000000,-1,0.093685,-1,-1,0.084877
10000000,-1,0.093224,-1,-1,0.098948
10000000,-1,0.092453,-1,-1,0.096425
10000000,-1,0.092100,-1,-1,0.085554
10000000,-1,0.091341,-1,-1,0.093679
10000000,-1,0.091209,-1,-1,0.097195
10000000,-1,0.091017,-1,-1,0.088161
10000000,-1,0.089905,-1,-1,0.094110
10000000,-1,0.089323,-1,-1,0.093799
10000000,-1,0.088732,-1,-1,0.086264
10000000,-1,0.088728,-1,-1,0.085451
10000000,-1,0.088499,-1,-1,0.090467
10000000,-1,0.088396,-1,-1,0.087410
