./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 4 -R 4
N,split,join_zero,join,split_msg,split_zero
mpi/major,4
1000,0.017933,0.000155,0.015913,0.057403,0.000081
1000,0.016297,0.000057,0.009759,0.028691,0.000093
1000,0.014773,0.000142,0.009475,0.024689,0.000071
1000,0.014535,0.000054,0.012599,0.029320,0.000120
1000,0.014249,0.000056,0.012799,0.027074,0.000036
1000,0.013979,0.000099,0.011348,0.025967,0.000118
1000,0.013761,0.000127,0.009394,0.025250,0.000054
1000,0.013459,0.000037,0.014434,0.030210,0.000191
1000,0.013267,0.000046,0.014552,0.025480,0.000207
1000,0.013163,0.000113,0.011723,0.031141,0.025761
1000,0.012728,0.000141,0.011719,0.029659,0.000068
1000,0.012347,0.007374,0.012040,0.025292,0.000046
1000,0.012243,0.004664,0.015151,0.024866,0.000146
1000,0.012153,0.000106,0.010208,0.028020,0.005820
1000,0.011962,0.000214,0.011764,0.027346,0.000222
1000,0.011592,0.000047,0.014305,0.034016,0.000168
1000,0.011113,0.000215,0.012497,0.027505,0.000041
1000,0.010980,0.000047,0.012154,0.025741,0.000171
1000,0.010247,0.000061,0.012277,0.026564,0.000048
1000000,-1,0.011987,-1,-1,0.010549
1000000,-1,0.011035,-1,-1,0.022720
1000000,-1,0.011004,-1,-1,0.009155
1000000,-1,0.010994,-1,-1,0.010723
1000000,-1,0.010982,-1,-1,0.010530
1000000,-1,0.010974,-1,-1,0.010495
1000000,-1,0.010968,-1,-1,0.009599
1000000,-1,0.010965,-1,-1,0.009877
1000000,-1,0.010958,-1,-1,0.010751
1000000,-1,0.010957,-1,-1,0.010551
1000000,-1,0.010945,-1,-1,0.010535
1000000,-1,0.010931,-1,-1,0.010519
1000000,-1,0.010931,-1,-1,0.008430
1000000,-1,0.010921,-1,-1,0.010609
1000000,-1,0.010782,-1,-1,0.010664
1000000,-1,0.010486,-1,-1,0.010566
1000000,-1,0.008778,-1,-1,0.008594
1000000,-1,0.008725,-1,-1,0.010581
1000000,-1,0.008579,-1,-1,0.014721
1000000,-1,0.008308,-1,-1,0.010522
1000,0.008873,0.000174,0.013509,0.028726,0.000040
10000,0.075806,0.000235,0.066507,0.091036,0.000142
100000,0.734829,0.000951,0.975079,0.897035,0.001047
100000,0.713185,0.001114,0.600339,0.792827,0.001317
100000,0.682523,0.003110,0.573846,0.796521,0.002062
10000,0.066217,0.000205,0.072779,0.095273,0.000236
10000,0.065744,0.000216,0.064176,0.117377,0.000192
100000,0.647615,0.014985,0.634962,0.768763,0.013155
10000,0.064395,0.000162,0.075979,0.129458,0.000202
10000,0.064061,0.000135,0.052175,0.124606,0.000166
100000,0.637640,0.001912,0.721871,0.795157,0.001055
10000,0.063619,0.000156,0.058777,0.099693,0.000275
100000,0.633596,0.008600,0.623861,0.819627,0.001352
10000,0.060946,0.000174,0.070456,0.103292,0.000151
10000,0.060676,0.000171,0.068017,0.097002,0.000256
100000,0.606597,0.001242,0.608628,0.793331,0.001159
10000,0.059253,0.000132,0.058731,0.099077,0.000158
100000,0.588241,0.001031,0.628094,0.766689,0.004673
10000,0.058554,0.000214,0.051606,0.111488,0.000304
10000,0.058518,0.010503,0.065499,0.116341,0.000294
100000,0.581906,0.001045,0.661830,0.788276,0.001122
100000,0.579454,0.000960,0.638044,0.680267,0.000946
100000,0.576978,0.001119,0.617529,0.824999,0.001427
100000,0.575433,0.001072,0.579106,0.855992,0.001652
100000,0.573127,0.001310,0.622810,0.766006,0.001315
100000,0.565456,0.001175,0.620725,0.931867,0.003684
10000,0.056234,0.000319,0.058788,0.104095,0.000289
10000,0.056174,0.000191,0.052435,0.121773,0.000143
10000,0.055132,0.000204,0.058894,0.096095,0.000278
10000,0.054148,0.000152,0.065335,0.103283,0.000737
100000,0.539700,0.001150,0.462898,0.661742,0.001906
10000,0.050831,0.000132,0.057235,0.101851,0.001970
100000,0.498785,0.001153,0.438058,0.649199,0.001546
100000,0.483942,0.001871,0.500703,0.666246,0.003026
10000,0.048345,0.000106,0.049418,0.101935,0.000282
100000,0.467654,0.001008,0.453466,0.811753,0.003145
10000,0.046658,0.000248,0.056081,0.101939,0.000123
10000,0.046553,0.000299,0.065208,0.095647,0.000118
10000,0.045632,0.000233,0.059706,0.120449,0.000182
100000,0.439379,0.002366,0.415663,0.625897,0.001254
100000,0.400978,0.001063,0.474073,0.643179,0.001047
10000000,-1,0.114108,-1,-1,0.111995
10000000,-1,0.098969,-1,-1,0.083678
10000000,-1,0.097799,-1,-1,0.079429
10000000,-1,0.092117,-1,-1,0.097708
10000000,-1,0.091130,-1,-1,0.086539
10000000,-1,0.090925,-1,-1,0.134272
10000000,-1,0.090309,-1,-1,0.092946
10000000,-1,0.089912,-1,-1,0.082387
10000000,-1,0.088616,-1,-1,0.085496
10000000,-1,0.087766,-1,-1,0.076598
10000000,-1,0.086489,-1,-1,0.089973
10000000,-1,0.085497,-1,-1,0.072826
10000000,-1,0.084744,-1,-1,0.076179
10000000,-1,0.082233,-1,-1,0.093487
10000000,-1,0.080838,-1,-1,0.095556
10000000,-1,0.078966,-1,-1,0.084683
10000000,-1,0.078470,-1,-1,0.096994
10000000,-1,0.076963,-1,-1,0.086507
10000000,-1,0.076020,-1,-1,0.076204
10000000,-1,0.074640,-1,-1,0.078982
