./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 3 -R 3
N,split,join_zero,join,split_msg,split_zero
mpi/major,3
1000,0.016182,0.000070,0.012744,0.020663,0.000051
1000,0.015874,0.000039,0.013499,0.019583,0.000127
1000,0.014953,0.000052,0.011889,0.020405,0.000036
1000,0.014424,0.000077,0.012412,0.018338,0.000097
1000,0.013885,0.000041,0.012765,0.021687,0.000036
1000,0.013309,0.003011,0.017645,0.018551,0.000042
1000,0.013062,0.000041,0.011140,0.017919,0.000128
1000,0.012823,0.000044,0.010932,0.018651,0.000125
1000,0.012716,0.000033,0.013809,0.019402,0.000057
1000,0.012686,0.000036,0.012439,0.021198,0.000160
1000,0.012653,0.000068,0.017068,0.019501,0.000103
1000,0.012208,0.000086,0.014474,0.019451,0.000039
1000,0.011799,0.000049,0.012714,0.023117,0.000085
1000,0.011744,0.000042,0.012424,0.020780,0.000043
1000,0.011133,0.000036,0.011828,0.019149,0.000116
1000,0.010980,0.000064,0.011887,0.022249,0.000040
1000,0.010831,0.000035,0.014445,0.019802,0.000103
1000,0.010629,0.000074,0.011374,0.018335,0.000044
1000,0.010307,0.000145,0.011182,0.019705,0.000042
1000,0.010007,0.000054,0.010909,0.021929,0.000213
1000000,9.733390,0.021753,8.779950,TIME-OUT,0.011094
1000000,9.716620,0.007659,8.808170,TIME-OUT,0.007440
1000000,9.714860,0.008923,8.744260,TIME-OUT,0.007830
1000000,9.714420,0.024317,8.779490,TIME-OUT,0.013278
1000000,9.706970,0.008627,8.758380,TIME-OUT,0.007898
1000000,9.653850,0.022107,8.800790,TIME-OUT,0.007602
1000000,9.505700,0.007661,8.497690,TIME-OUT,0.007363
1000000,9.498640,0.007510,8.480650,TIME-OUT,0.007365
1000000,9.498610,0.025204,8.503430,TIME-OUT,0.007392
1000000,9.496580,0.020435,8.512880,TIME-OUT,0.007857
1000000,9.487620,0.022177,8.506950,TIME-OUT,0.007543
1000000,9.475280,0.015378,8.502760,TIME-OUT,0.008237
1000000,9.468070,0.026969,8.509360,TIME-OUT,0.007345
1000000,9.458050,0.021365,8.514350,TIME-OUT,0.007415
1000000,9.457420,0.009112,8.495690,TIME-OUT,0.008950
1000000,9.455530,0.025068,8.504690,TIME-OUT,0.007518
1000000,9.452580,0.009210,8.514550,TIME-OUT,0.008181
1000000,9.444520,0.022122,8.491370,TIME-OUT,0.009107
1000000,9.444080,0.026578,8.492790,TIME-OUT,0.007614
1000000,9.370110,0.011108,8.507310,TIME-OUT,0.009166
10000,0.060456,0.000181,0.063034,0.070129,0.000235
10000,0.059893,0.005225,0.067432,0.070621,0.000104
10000,0.058108,0.000161,0.048806,0.084242,0.000250
10000,0.055531,0.000183,0.058399,0.068898,0.000205
100000,0.535859,0.001320,0.457764,0.550955,0.003138
10000,0.052924,0.000217,0.055205,0.067314,0.000324
10000,0.051869,0.000165,0.044693,0.078542,0.000110
10000,0.049758,0.000209,0.046536,0.069021,0.000195
10000,0.048359,0.000190,0.044791,0.070887,0.000101
100000,0.482904,0.001571,0.451702,0.604648,0.002336
100000,0.474839,0.001593,0.433790,0.601125,0.001732
100000,0.468730,0.003119,0.461018,0.572621,0.000846
100000,0.465790,0.001247,0.458613,0.623261,0.001132
10000,0.046498,0.000311,0.054694,0.070898,0.000151
100000,0.459949,0.000972,0.456726,0.568250,0.001406
10000,0.045638,0.000144,0.064351,0.070485,0.000128
100000,0.448595,0.002204,0.439626,0.551455,0.001565
100000,0.448175,0.001958,0.438351,0.533092,0.001695
10000,0.044795,0.000138,0.052939,0.078161,0.000243
100000,0.435690,0.003395,0.480977,0.571047,0.002256
10000,0.043564,0.000189,0.063371,0.067715,0.000118
100000,0.431086,0.001200,0.451619,0.562763,0.002874
100000,0.428464,0.003424,0.497095,0.558540,0.001293
10000,0.042728,0.000104,0.055795,0.073656,0.000139
10000,0.042613,0.000226,0.051498,0.069945,0.000125
100000,0.426017,0.002486,0.529875,0.535321,0.000825
100000,0.420579,0.001348,0.461796,0.641193,0.002468
10000,0.041987,0.000206,0.047037,0.073227,0.000104
100000,0.419507,0.001267,0.454883,0.606132,0.001140
100000,0.419025,0.001416,0.465515,0.521184,0.003112
10000,0.041687,0.000110,0.045776,0.071409,0.000174
100000,0.416419,0.000864,0.457472,0.619881,0.004853
10000,0.041147,0.000187,0.048648,0.070592,0.000203
100000,0.410442,0.001115,0.467457,0.529143,0.003915
10000,0.040600,0.000102,0.047973,0.068133,0.000176
100000,0.405250,0.001185,0.463391,0.550640,0.001395
10000,0.040326,0.000155,0.045720,0.068816,0.000283
100000,0.397929,0.000914,0.508132,0.535886,0.001033
10000,0.039203,0.000243,0.065458,0.069805,0.000178
100000,0.387804,0.001017,0.511528,0.528134,0.000801
10000000,TIME-OUT,0.122914,TIME-OUT,TIME-OUT,0.076409
10000000,TIME-OUT,0.100054,TIME-OUT,TIME-OUT,0.089317
10000000,TIME-OUT,0.092308,TIME-OUT,TIME-OUT,0.087996
10000000,TIME-OUT,0.090720,TIME-OUT,TIME-OUT,0.081616
10000000,TIME-OUT,0.089746,TIME-OUT,TIME-OUT,0.082883
10000000,TIME-OUT,0.088065,TIME-OUT,TIME-OUT,0.077563
10000000,TIME-OUT,0.087897,TIME-OUT,TIME-OUT,0.087041
10000000,TIME-OUT,0.086703,TIME-OUT,TIME-OUT,0.087631
10000000,TIME-OUT,0.085830,TIME-OUT,TIME-OUT,0.085431
10000000,TIME-OUT,0.082976,TIME-OUT,TIME-OUT,0.084729
10000000,TIME-OUT,0.082310,TIME-OUT,TIME-OUT,0.088018
10000000,TIME-OUT,0.082101,TIME-OUT,TIME-OUT,0.088039
10000000,TIME-OUT,0.081694,TIME-OUT,TIME-OUT,0.086695
10000000,TIME-OUT,0.081447,TIME-OUT,TIME-OUT,0.085697
10000000,TIME-OUT,0.080961,TIME-OUT,TIME-OUT,0.079996
10000000,TIME-OUT,0.078903,TIME-OUT,TIME-OUT,0.074694
10000000,TIME-OUT,0.078857,TIME-OUT,TIME-OUT,0.092074
10000000,TIME-OUT,0.077601,TIME-OUT,TIME-OUT,0.078735
10000000,TIME-OUT,0.077416,TIME-OUT,TIME-OUT,0.087715
10000000,TIME-OUT,0.072501,TIME-OUT,TIME-OUT,0.081700
