mpi/major,1
heat,split_msg,split,join,split_zero,join_zero
10,TIME-OUT,0.279604,0.282677,0.007734,0.009535
10,TIME-OUT,0.232411,0.281792,0.005855,0.011757
10,TIME-OUT,0.209613,0.278440,0.006524,0.009633
10,TIME-OUT,0.208606,0.301012,0.006016,0.009520
10,TIME-OUT,0.206375,0.286405,0.006819,0.011313
10,TIME-OUT,0.203054,0.291911,0.005843,0.009575
10,TIME-OUT,0.201656,0.278722,0.006990,0.014473
10,TIME-OUT,0.200903,0.280202,0.005525,0.011270
10,TIME-OUT,0.198820,0.281384,0.006870,0.009554
10,TIME-OUT,0.197843,0.274934,0.005641,0.009701
10,TIME-OUT,0.196549,0.277736,0.007040,0.009550
10,TIME-OUT,0.196109,0.285972,0.005853,0.009837
10,TIME-OUT,0.193393,0.275843,0.005708,0.012426
10,TIME-OUT,0.191833,0.274925,0.007077,0.010505
10,TIME-OUT,0.190584,0.314245,0.006962,0.011545
10,TIME-OUT,0.189378,0.298520,0.005853,0.009826
10,TIME-OUT,0.184178,0.284008,0.006420,0.010502
10,TIME-OUT,0.184162,0.296285,0.005851,0.010500
10,TIME-OUT,0.183747,0.288217,0.006226,0.010499
10,TIME-OUT,0.183268,0.300560,0.005730,0.009840
100,TIME-OUT,2.095900,2.957170,0.302580,0.513889
100,TIME-OUT,2.092030,2.966260,0.304017,0.525479
100,TIME-OUT,2.067550,2.940680,0.308529,0.524720
100,TIME-OUT,2.060050,3.054400,0.320079,0.522219
100,TIME-OUT,2.020790,2.951460,0.317717,0.519025
100,TIME-OUT,2.015170,2.949950,0.307140,0.508612
100,TIME-OUT,2.015130,2.950120,0.302905,0.515497
100,TIME-OUT,2.013560,2.962410,0.303742,0.513219
100,TIME-OUT,2.002560,2.937660,0.315929,0.506570
100,TIME-OUT,1.997310,2.958120,0.321346,0.515766
100,TIME-OUT,1.996830,2.954910,0.316724,0.513986
100,TIME-OUT,1.995850,2.938400,0.308055,0.517119
100,TIME-OUT,1.992860,2.984530,0.303672,0.524199
100,TIME-OUT,1.992490,2.986200,0.344816,0.532891
100,TIME-OUT,1.991650,2.941780,0.315501,0.514262
100,TIME-OUT,1.990640,2.956530,0.316456,0.520435
100,TIME-OUT,1.984440,2.944030,0.316117,0.517633
100,TIME-OUT,1.971200,2.974470,0.313026,0.511933
100,TIME-OUT,1.934740,2.972090,0.318663,0.522835
100,TIME-OUT,1.915820,2.936570,0.318335,0.532027
1000,TIME-OUT,TIME-OUT,TIME-OUT,TIME-OUT,TIME-OUT
10000,TIME-OUT,TIME-OUT,TIME-OUT,TIME-OUT,TIME-OUT
