mpi/major,3
heat,split_msg,split,join,split_zero,join_zero
10,0.485617,0.298451,0.302671,0.002175,0.000818
10,0.485107,0.314840,0.372497,0.001722,0.000890
10,0.468724,0.318803,0.343855,0.000880,0.000761
10,0.465002,0.342775,0.336052,0.001258,0.000998
10,0.461832,0.306079,0.332129,0.001503,0.000750
100,4.545370,2.794070,2.894300,0.001276,0.000802
10,0.451464,0.375631,0.345870,0.001262,0.000737
100,4.507670,2.870540,3.014470,0.001023,0.000934
10,0.448985,0.310636,0.333447,0.000835,0.000990
10,0.448507,0.396369,0.364088,0.001904,0.000863
10,0.448462,0.301645,0.337605,0.001359,0.000853
100,4.483680,2.799080,3.074270,0.000890,0.001646
100,4.478680,2.943800,3.079740,0.000810,0.000720
100,4.476340,2.883970,3.013210,0.001673,0.001017
10,0.447322,0.364034,0.385949,0.002709,0.000814
100,4.443720,2.973410,2.978510,0.002200,0.000791
100,4.434650,3.033930,3.003310,0.002272,0.000765
100,4.434540,2.935600,2.883550,0.001985,0.000755
100,4.433000,2.994970,3.175710,0.003283,0.000982
100,4.432410,2.858930,2.975500,0.001889,0.000828
100,4.430960,3.076700,3.013720,0.000890,0.000883
100,4.430920,2.992990,3.145010,0.000946,0.000898
100,4.430130,3.035880,2.985130,0.002267,0.000895
100,4.415250,3.038790,3.044320,0.000821,0.001038
100,4.405300,3.176270,2.968410,0.002397,0.000929
10,0.440347,0.368790,0.364935,0.001962,0.000731
100,4.394500,3.207280,3.027200,0.001521,0.000887
10,0.438800,0.291678,0.305738,0.001289,0.002232
100,4.381580,2.990930,3.106060,0.000787,0.000947
100,4.379030,2.785650,3.091920,0.002268,0.000868
100,4.369300,2.963480,2.963510,0.002782,0.000858
10,0.436886,0.383283,0.364265,0.002497,0.000849
100,4.368670,2.868080,3.025940,0.002255,0.000994
10,0.436395,0.332334,0.322810,0.000975,0.001516
10,0.435717,0.328917,0.349223,0.000769,0.000927
10,0.434018,0.303502,0.291499,0.000806,0.000763
10,0.433423,0.292951,0.376951,0.003152,0.000788
10,0.431915,0.326749,0.375297,0.001964,0.000903
10,0.430858,0.304870,0.365737,0.001667,0.000954
10,0.426372,0.314031,0.340274,0.002588,0.000943
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.001021,0.000988
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.001004,0.000865
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000992,0.000808
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000962,0.000852
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000959,0.000775
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000946,0.001004
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000945,0.000908
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000940,0.000992
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000932,0.000894
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000889,0.000899
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000887,0.000899
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000886,0.000954
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000885,0.000859
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000865,0.000900
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000856,0.001090
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000856,0.000804
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000855,0.001065
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000846,0.000750
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000841,0.000834
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000753,0.000935
