mpi/major,4
heat,split_msg,split,join,split_zero,join_zero
10,0.698369,0.451051,0.449472,0.002920,0.000924
10,0.678056,0.440476,0.449379,0.001885,0.000930
10,0.670255,0.456116,0.420434,0.000880,0.000888
10,0.668057,0.446747,0.407580,0.000798,0.002467
10,0.664674,0.442341,0.424924,0.001158,0.000938
10,0.655587,0.403830,0.574148,0.002340,0.000955
10,0.649110,0.443416,0.473309,0.001569,0.001394
10,0.648376,0.424093,0.460336,0.002459,0.000890
10,0.647751,0.418116,0.530431,0.001801,0.000897
10,0.641012,0.464891,0.500937,0.001155,0.003058
100,6.407370,4.074760,4.056490,0.002965,0.004906
100,6.406950,3.973130,4.136000,0.002281,0.001063
100,6.402160,4.054150,4.106150,0.002562,0.000910
100,6.390960,3.964530,4.111490,0.002705,0.000918
10,0.638860,0.426530,0.475812,0.000949,0.000974
100,6.359960,4.082660,4.202130,0.001898,0.000935
100,6.336860,4.013690,4.334500,0.003138,0.001388
100,6.317810,4.043380,3.914360,0.002580,0.000833
100,6.313800,4.094170,4.081650,0.002818,0.000780
100,6.310320,4.125560,4.143390,0.004185,0.000754
100,6.300290,4.119590,4.253870,0.002789,0.003139
10,0.630017,0.472526,0.452471,0.001052,0.001089
100,6.296850,4.011690,4.071260,0.008151,0.002739
100,6.293260,4.071740,4.278460,0.003205,0.000832
100,6.291280,4.026990,4.053410,0.009974,0.000772
10,0.628142,0.493127,0.465984,0.001477,0.009398
10,0.627908,0.409105,0.441201,0.001564,0.034164
100,6.275930,4.178760,4.153310,0.007439,0.000918
100,6.251570,3.989700,4.122850,0.002744,0.000773
100,6.249980,4.049180,4.088660,0.007490,0.001719
10,0.624894,0.396018,0.390022,0.002252,0.000874
10,0.623892,0.427991,0.424799,0.001832,0.000936
100,6.225520,4.070030,4.226260,0.003129,0.001209
100,6.207990,4.306440,4.073460,0.002701,0.002490
100,6.205970,4.038190,4.139110,0.001547,0.004023
100,6.198990,4.001360,4.005230,0.002472,0.000827
10,0.619834,0.509188,0.455425,0.003245,0.000961
10,0.617760,0.450814,0.499732,0.001645,0.000996
10,0.607390,0.397582,0.395852,0.002314,0.001730
10,0.606606,0.414221,0.532942,0.015226,0.000912
1000,-1,-1,-1,0.004794,0.002015
1000,-1,-1,-1,0.004590,0.002601
1000,-1,-1,-1,0.004544,0.002753
1000,-1,-1,-1,0.001176,0.002712
1000,-1,-1,-1,0.001137,0.001052
1000,-1,-1,-1,0.001118,0.004218
1000,-1,-1,-1,0.001075,0.002353
1000,-1,-1,-1,0.001060,0.002633
1000,-1,-1,-1,0.001051,0.002981
1000,-1,-1,-1,0.001046,0.002587
1000,-1,-1,-1,0.001044,0.002457
1000,-1,-1,-1,0.001018,0.002598
1000,-1,-1,-1,0.000979,0.003088
1000,-1,-1,-1,0.000943,0.002284
1000,-1,-1,-1,0.000921,0.004185
1000,-1,-1,-1,0.000912,0.002634
1000,-1,-1,-1,0.000910,0.002321
1000,-1,-1,-1,0.000897,0.006022
1000,-1,-1,-1,0.000870,0.005131
1000,-1,-1,-1,0.000856,0.003036
