openmp/major
heat,split,join,split_zero,join_zero
10000,-1,0.000418,-1,0.040527
10000,-1,0.000414,-1,0.007029
10000,-1,0.000414,-1,0.000431
10000,-1,0.000411,-1,0.000577
10000,-1,0.000407,-1,0.080472
10000,-1,0.000406,-1,0.000446
10000,-1,0.000401,-1,0.081747
10000,-1,0.000400,-1,0.000469
10000,-1,0.000390,-1,0.000342
100000,-1,0.082852,-1,0.016871
100000,-1,0.051890,-1,0.000390
100000,-1,0.035922,-1,0.000548
100000,-1,0.008724,-1,0.000533
100000,-1,0.003790,-1,0.000456
100000,-1,0.001718,-1,0.004919
100000,-1,0.001254,-1,0.011527
100000,-1,0.000419,-1,0.000553
100000,-1,0.000413,-1,0.000921
100000,-1,0.000411,-1,0.000533
100000,-1,0.000401,-1,0.093418
100000,-1,0.000400,-1,0.000519
100000,-1,0.000398,-1,0.002881
100000,-1,0.000393,-1,0.115063
100000,-1,0.000392,-1,0.000447
100000,-1,0.000390,-1,0.007409
100000,-1,0.000389,-1,0.024044
100000,-1,0.000380,-1,0.000471
100000,-1,0.000379,-1,0.000425
100000,-1,0.000364,-1,0.011743
1000000,-1,0.109369,-1,0.000456
1000000,-1,0.089391,-1,0.000356
1000000,-1,0.017469,-1,0.010984
1000000,-1,0.006937,-1,0.005645
1000000,-1,0.006570,-1,0.000503
1000000,-1,0.000732,-1,0.000459
1000000,-1,0.000411,-1,0.000430
1000000,-1,0.000407,-1,0.000540
1000000,-1,0.000407,-1,0.000477
1000000,-1,0.000403,-1,0.008867
1000000,-1,0.000402,-1,0.000545
1000000,-1,0.000397,-1,0.000434
1000000,-1,0.000397,-1,0.000416
1000000,-1,0.000395,-1,0.000620
1000000,-1,0.000389,-1,0.008950
1000000,-1,0.000389,-1,0.006028
1000000,-1,0.000387,-1,0.000431
1000000,-1,0.000383,-1,0.000408
1000000,-1,0.000376,-1,0.000478
1000000,-1,0.000347,-1,0.000454
10000000,-1,0.097369,-1,0.000437
10000000,-1,0.082370,-1,0.000455
10000000,-1,0.023107,-1,0.000603
10000000,-1,0.011049,-1,0.001395
10000000,-1,0.010881,-1,0.000362
10000000,-1,0.009359,-1,0.000505
10000000,-1,0.008945,-1,0.000411
10000000,-1,0.007499,-1,0.000443
10000000,-1,0.003676,-1,0.000571
10000000,-1,0.000649,-1,0.006671
10000000,-1,0.000478,-1,0.000573
10000000,-1,0.000441,-1,0.000333
10000000,-1,0.000437,-1,0.000478
10000000,-1,0.000434,-1,0.000465
10000000,-1,0.000412,-1,0.000479
10000000,-1,0.000401,-1,0.000478
10000000,-1,0.000396,-1,0.003575
10000000,-1,0.000388,-1,0.009064
10000000,-1,0.000380,-1,0.000455
10000000,-1,0.000374,-1,0.000447
