./tester -m -v 0 -n 10000 -N 10000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 1 -R 1
N,split,join_zero,join,split_msg,split_zero
mpi/major,1
10000,0.069270,0.009594,0.036991,TIME-OUT,0.006059
10000,0.025573,0.009700,0.041315,TIME-OUT,0.006118
10000,0.024506,0.010710,0.040689,TIME-OUT,0.006120
10000,0.024460,0.010798,0.039386,TIME-OUT,0.005827
10000,0.024376,0.010455,0.037518,TIME-OUT,0.006678
10000,0.024333,0.010291,0.037841,TIME-OUT,0.005957
10000,0.024320,0.011372,0.037387,TIME-OUT,0.006004
10000,0.023809,0.010831,0.038164,TIME-OUT,0.005974
10000,0.023808,0.009795,0.036798,TIME-OUT,0.006108
10000,0.023740,0.010627,0.040291,TIME-OUT,0.005937
10000,0.023522,0.010158,0.036543,TIME-OUT,0.006043
10000,0.023333,0.010500,0.037375,TIME-OUT,0.005697
10000,0.023288,0.011336,0.036216,TIME-OUT,0.005916
10000,0.023016,0.010281,0.040653,TIME-OUT,0.005942
10000,0.022693,0.010235,0.037627,TIME-OUT,0.006231
10000,0.022630,0.011348,0.039492,TIME-OUT,0.006066
10000,0.022161,0.010311,0.039960,TIME-OUT,0.006027
10000,0.022150,0.010683,0.037540,TIME-OUT,0.006118
10000,0.021980,0.015084,0.034403,TIME-OUT,0.005636
10000,0.021836,0.009123,0.033572,TIME-OUT,0.008648
