./tester -m -v 0 -n 10000 -N 10000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 3 -R 3
N,split,join_zero,join,split_msg,split_zero
mpi/major,3
10000,0.060456,0.000181,0.063034,0.070129,0.000235
10000,0.059893,0.005225,0.067432,0.070621,0.000104
10000,0.058108,0.000161,0.048806,0.084242,0.000250
10000,0.055531,0.000183,0.058399,0.068898,0.000205
10000,0.052924,0.000217,0.055205,0.067314,0.000324
10000,0.051869,0.000165,0.044693,0.078542,0.000110
10000,0.049758,0.000209,0.046536,0.069021,0.000195
10000,0.048359,0.000190,0.044791,0.070887,0.000101
10000,0.046498,0.000311,0.054694,0.070898,0.000151
10000,0.045638,0.000144,0.064351,0.070485,0.000128
10000,0.044795,0.000138,0.052939,0.078161,0.000243
10000,0.043564,0.000189,0.063371,0.067715,0.000118
10000,0.042728,0.000104,0.055795,0.073656,0.000139
10000,0.042613,0.000226,0.051498,0.069945,0.000125
10000,0.041987,0.000206,0.047037,0.073227,0.000104
10000,0.041687,0.000110,0.045776,0.071409,0.000174
10000,0.041147,0.000187,0.048648,0.070592,0.000203
10000,0.040600,0.000102,0.047973,0.068133,0.000176
10000,0.040326,0.000155,0.045720,0.068816,0.000283
10000,0.039203,0.000243,0.065458,0.069805,0.000178
