./tester -m -v 0 -n 10000 -N 10000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f schedule
openmp/schedule
N,dynamic,static,auto,guided
10000,1.360490,0.000213,0.000223,0.000256
10000,1.076520,0.000226,0.000219,0.000218
10000,1.072630,0.000379,0.000224,0.000258
10000,1.052870,0.074581,0.000230,0.000279
10000,1.038370,0.000226,0.000236,0.000256
10000,1.027300,0.000209,0.000219,0.000289
10000,1.025320,0.000241,0.000237,0.000261
10000,1.011270,0.000225,0.000221,0.000275
10000,1.001050,0.023795,0.035544,0.000260
10000,0.990597,0.000231,0.000249,0.000281
10000,0.988389,0.000210,0.000235,0.000319
10000,0.954600,0.008267,0.000241,0.016134
10000,0.935761,0.000231,0.000223,0.000256
10000,0.913742,0.000247,0.000224,0.000261
10000,0.895222,0.098978,0.000214,0.000252
10000,0.886099,0.000230,0.006316,0.000399
10000,0.001856,0.000276,0.000274,0.000340
10000,0.001197,0.000155,0.000157,0.000187
10000,0.001153,0.000211,0.000170,0.000287
10000,0.001104,0.000157,0.000160,0.000197
