./tester -m -v 0 -n 10000 -N 10000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 2 -R 2
N,split,join_zero,join,split_msg,split_zero
mpi/major,2
10000,0.039502,0.000120,0.041132,0.059888,0.000106
10000,0.038758,0.000145,0.038470,0.062206,0.000125
10000,0.037222,0.000106,0.039129,0.062263,0.000247
10000,0.037059,0.000133,0.047913,0.066460,0.000105
10000,0.036937,0.000149,0.042170,0.065756,0.000164
10000,0.036359,0.000138,0.040577,0.063917,0.000107
10000,0.036074,0.000113,0.040518,0.062692,0.000097
10000,0.035850,0.000139,0.039439,0.061112,0.000107
10000,0.035038,0.000103,0.039333,0.061591,0.000116
10000,0.034800,0.000104,0.038792,0.061332,0.000123
10000,0.034751,0.000113,0.042807,0.063772,0.000161
10000,0.034619,0.000120,0.045906,0.063135,0.000100
10000,0.034502,0.000144,0.038962,0.064564,0.000143
10000,0.034472,0.000118,0.039891,0.060017,0.000118
10000,0.034343,0.000108,0.038859,0.065545,0.000148
10000,0.034128,0.000191,0.041598,0.059365,0.000099
10000,0.034017,0.000118,0.039293,0.060626,0.000120
10000,0.033895,0.000103,0.042486,0.061694,0.000116
10000,0.033773,0.000120,0.039495,0.060537,0.000107
10000,0.033739,0.000111,0.040432,0.060458,0.000110
