./tester -m -v 0 -n 1000000 -N 1000000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f schedule
openmp/schedule
N,dynamic,static,auto,guided
1000000,TIME-OUT,0.006212,0.046752,0.003219
1000000,TIME-OUT,0.003083,0.002312,0.003892
1000000,TIME-OUT,0.003065,0.002327,0.006066
1000000,TIME-OUT,0.002346,0.002411,0.003252
1000000,TIME-OUT,0.002310,0.002345,0.003864
1000000,0.185801,0.002378,0.002329,0.002384
1000000,0.152161,0.002320,0.002318,0.002374
1000000,0.140942,0.079549,0.002374,0.003243
1000000,0.132267,0.002333,0.002318,0.004687
1000000,0.131865,0.003049,0.056576,0.003178
1000000,0.121843,0.002329,0.003036,0.003887
1000000,0.101198,0.002473,0.020626,0.043973
1000000,0.099125,0.002313,0.003094,0.002324
1000000,0.096206,0.002392,0.002276,0.003100
1000000,0.090416,0.002369,0.002307,0.003099
1000000,0.086908,0.002323,0.003848,0.004570
1000000,0.086125,0.002311,0.002330,0.003854
1000000,0.083078,0.002296,0.003852,0.004619
1000000,0.083000,0.002265,0.002338,0.003115
1000000,0.082622,0.002337,0.002306,0.004589
