./tester -m -v 0 -n 1000000 -N 1000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 2 -R 2
N,split,join_zero,join,split_msg,split_zero
mpi/major,2
1000000,7.425860,0.010097,6.759690,8.347230,0.009395
1000000,7.401110,0.007869,6.622610,8.104770,0.007712
1000000,7.399470,0.007815,6.759450,8.317540,0.007811
1000000,7.391280,0.008476,6.755820,8.337360,0.009372
1000000,7.384160,0.009417,6.762220,8.338570,0.009436
1000000,7.383980,0.008568,6.752230,8.356370,0.007779
1000000,7.186850,0.007594,6.556740,8.086750,0.007705
1000000,7.174010,0.007891,6.560290,8.120280,0.009320
1000000,7.173140,0.007583,6.567020,8.118610,0.008697
1000000,7.170550,0.010918,6.567960,8.086870,0.007618
1000000,7.169160,0.007561,6.553740,8.133420,0.012507
1000000,7.168720,0.007906,6.560480,8.128450,0.009280
1000000,7.167740,0.009297,6.568810,8.128410,0.007458
1000000,7.165530,0.008974,6.560040,8.096250,0.007759
1000000,7.163330,0.009313,6.563980,8.100860,0.013300
1000000,7.159530,0.007594,6.571490,8.144390,0.007548
1000000,7.154110,0.008993,6.568160,8.131730,0.007557
1000000,7.151940,0.008435,6.579370,8.144840,0.007875
1000000,7.149440,0.010466,6.573220,8.168550,0.010084
1000000,7.105690,0.008150,6.562610,8.143450,0.007918
