./tester -m -v 0 -n 1000000 -N 1000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 4 -R 4
N,split,join_zero,join,split_msg,split_zero
mpi/major,4
1000000,TIME-OUT,0.011987,TIME-OUT,TIME-OUT,0.010549
1000000,TIME-OUT,0.011035,TIME-OUT,TIME-OUT,0.022720
1000000,TIME-OUT,0.011004,TIME-OUT,TIME-OUT,0.009155
1000000,TIME-OUT,0.010994,TIME-OUT,TIME-OUT,0.010723
1000000,TIME-OUT,0.010982,TIME-OUT,TIME-OUT,0.010530
1000000,TIME-OUT,0.010974,TIME-OUT,TIME-OUT,0.010495
1000000,TIME-OUT,0.010968,TIME-OUT,TIME-OUT,0.009599
1000000,TIME-OUT,0.010965,TIME-OUT,TIME-OUT,0.009877
1000000,TIME-OUT,0.010958,TIME-OUT,TIME-OUT,0.010751
1000000,TIME-OUT,0.010957,TIME-OUT,TIME-OUT,0.010551
1000000,TIME-OUT,0.010945,TIME-OUT,TIME-OUT,0.010535
1000000,TIME-OUT,0.010931,TIME-OUT,TIME-OUT,0.010519
1000000,TIME-OUT,0.010931,TIME-OUT,TIME-OUT,0.008430
1000000,TIME-OUT,0.010921,TIME-OUT,TIME-OUT,0.010609
1000000,TIME-OUT,0.010782,TIME-OUT,TIME-OUT,0.010664
1000000,TIME-OUT,0.010486,TIME-OUT,TIME-OUT,0.010566
1000000,TIME-OUT,0.008778,TIME-OUT,TIME-OUT,0.008594
1000000,TIME-OUT,0.008725,TIME-OUT,TIME-OUT,0.010581
1000000,TIME-OUT,0.008579,TIME-OUT,TIME-OUT,0.014721
1000000,TIME-OUT,0.008308,TIME-OUT,TIME-OUT,0.010522
